Brasil e Município,Origem da orientação técnica recebida,Grupos de atividade econômica,Irrigação localizada  gotejamento,Irrigação localizada  microaspersão,Irrigação localizada  outros métodos,Irrigação por superfície  inundação,Irrigação por superfície  sulcos,Irrigação por superfície  outros métodos,Irrigação por aspersão  autopropelido/carretel enrolador,Irrigação por aspersão  pivô central,Irrigação por aspersão  aspersão convencional,Outros métodos de irrigação  subsuperficial,Outros métodos de irrigação  molhação,Irrigação localizada  gotejamento,Irrigação localizada  microaspersão,Irrigação localizada  outros métodos,Irrigação por superfície  inundação,Irrigação por superfície  sulcos,Irrigação por superfície  outros métodos,Irrigação por aspersão  autopropelido/carretel enrolador,Irrigação por aspersão  pivô central,Irrigação por aspersão  aspersão convencional,Outros métodos de irrigação  subsuperficial,Outros métodos de irrigação  molhação,Irrigação localizada  gotejamento,Irrigação localizada  microaspersão,Irrigação localizada  outros métodos,Irrigação por superfície  inundação,Irrigação por superfície  sulcos,Irrigação por superfície  outros métodos,Irrigação por aspersão  autopropelido/carretel enrolador,Irrigação por aspersão  pivô central,Irrigação por aspersão  aspersão convencional,Outros métodos de irrigação  subsuperficial,Outros métodos de irrigação  molhação,Irrigação localizada  gotejamento,Irrigação localizada  microaspersão,Irrigação localizada  outros métodos,Irrigação por superfície  inundação,Irrigação por superfície  sulcos,Irrigação por superfície  outros métodos,Irrigação por aspersão  autopropelido/carretel enrolador,Irrigação por aspersão  pivô central,Irrigação por aspersão  aspersão convencional,Outros métodos de irrigação  subsuperficial,Outros métodos de irrigação  molhação,Irrigação localizada  gotejamento,Irrigação localizada  microaspersão,Irrigação localizada  outros métodos,Irrigação por superfície  inundação,Irrigação por superfície  sulcos,Irrigação por superfície  outros métodos,Irrigação por aspersão  autopropelido/carretel enrolador,Irrigação por aspersão  pivô central,Irrigação por aspersão  aspersão convencional,Outros métodos de irrigação  subsuperficial,Outros métodos de irrigação  molhação,Irrigação localizada  gotejamento,Irrigação localizada  microaspersão,Irrigação localizada  outros métodos,Irrigação por superfície  inundação,Irrigação por superfície  sulcos,Irrigação por superfície  outros métodos,Irrigação por aspersão  autopropelido/carretel enrolador,Irrigação por aspersão  pivô central,Irrigação por aspersão  aspersão convencional,Outros métodos de irrigação  subsuperficial,Outros métodos de irrigação  molhação,Irrigação localizada  gotejamento,Irrigação localizada  microaspersão,Irrigação localizada  outros métodos,Irrigação por superfície  inundação,Irrigação por superfície  sulcos,Irrigação por superfície  outros métodos,Irrigação por aspersão  autopropelido/carretel enrolador,Irrigação por aspersão  pivô central,Irrigação por aspersão  aspersão convencional,Outros métodos de irrigação  subsuperficial,Outros métodos de irrigação  molhação,Irrigação localizada  gotejamento,Irrigação localizada  microaspersão,Irrigação localizada  outros métodos,Irrigação por superfície  inundação,Irrigação por superfície  sulcos,Irrigação por superfície  outros métodos,Irrigação por aspersão  autopropelido/carretel enrolador,Irrigação por aspersão  pivô central,Irrigação por aspersão  aspersão convencional,Outros métodos de irrigação  subsuperficial,Outros métodos de irrigação  molhação
Ibirapitanga (BA),Total,Total,5,2,,,,,,,1,3,6,3,1,,,,,,,,,1,2,1,,,,,,,1,3,5,1,,,,,,,,1,3,5,1,1,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,1,2,1,,,,,,,1,3,5
Ibirapitanga (BA),Total,Produção de lavouras temporárias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ibirapuã (BA),Total,Total,14,14,,,1,,1,,9,,6,12,10,,,,,1,,6,,1,2,4,,,1,,,,3,,5,1,1,,,,,,,1,,3,,3,,,1,,,,2,,2,1,,,,,,,,,,,13,8,,,,,,,5,,1,1,6,,,1,,1,,4,,5
Ibirapuã (BA),Total,Produção de lavouras temporárias,2,,,,,,1,,1,,1,1,,,,,,1,,,,1,1,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,,,,,1,,1,,
Ibirataia (BA),Total,Total,,1,,,,,,,3,1,12,,,,,,,,,,,4,,1,,,,,,,3,1,8,,1,,,,,,,1,1,8,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,4,,1,,,,,,,3,1,8
Ibirataia (BA),Total,Produção de lavouras temporárias,,,,,,,,,,,3,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2
Ibitiara (BA),Total,Total,32,6,,,,6,,,4,2,36,7,1,,,,1,,,2,,6,25,5,,,,5,,,2,2,30,17,3,,,,3,,,1,2,24,8,2,,,,2,,,1,,6,,,,,,,,,,,,7,1,,,,1,,,2,,6,25,5,,,,5,,,2,2,30
Ibitiara (BA),Total,Produção de lavouras temporárias,7,1,,,,1,,,1,,7,3,,,,,1,,,1,,2,4,1,,,,,,,,,5,4,1,,,,,,,,,4,,,,,,,,,,,1,,,,,,,,,,,,3,,,,,1,,,1,,2,4,1,,,,,,,,,5
Ibititá (BA),Total,Total,448,184,1,,,,,18,9,,6,100,42,1,,,,,11,3,,1,348,142,,,,,,7,6,,5,204,50,,,,,,1,2,,5,141,88,,,,,,5,4,,,3,4,,,,,,1,,,,101,45,1,,,,,12,3,,1,347,139,,,,,,6,6,,5
Ibititá (BA),Total,Produção de lavouras temporárias,223,45,,,,,,6,4,,2,49,11,,,,,,4,1,,,174,34,,,,,,2,3,,2,121,15,,,,,,,2,,2,51,16,,,,,,2,1,,,2,3,,,,,,,,,,49,13,,,,,,4,1,,,174,32,,,,,,2,3,,2
Ibotirama (BA),Total,Total,107,27,3,,76,,,,38,,47,36,9,,,11,,,,19,,10,71,18,3,,65,,,,19,,37,51,10,3,,58,,,,16,,32,20,8,,,7,,,,3,,5,,,,,,,,,,,,36,9,,,11,,,,19,,10,71,18,3,,65,,,,19,,37
Ibotirama (BA),Total,Produção de lavouras temporárias,34,5,,,28,,,,4,,12,10,2,,,2,,,,,,5,24,3,,,26,,,,4,,7,20,3,,,23,,,,4,,6,4,,,,3,,,,,,1,,,,,,,,,,,,10,2,,,2,,,,,,5,24,3,,,26,,,,4,,7
Ichu (BA),Total,Total,4,4,,1,,,1,,2,1,46,2,,,1,,,,,,,10,2,4,,,,,1,,2,1,36,1,3,,,,,1,,1,1,35,1,1,,,,,,,1,,1,,,,,,,,,,,,2,,,1,,,,,,,10,2,4,,,,,1,,2,1,36
Ichu (BA),Total,Produção de lavouras temporárias,1,,,,,,,,,,6,1,,,,,,,,,,1,,,,,,,,,,,5,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,5
Igaporã (BA),Total,Total,165,48,,,1,,,,10,3,402,50,11,,,,,,,4,,103,115,37,,,1,,,,6,3,299,69,24,,,1,,,,4,3,266,46,12,,,,,,,2,,33,,1,,,,,,,,,,50,12,,,,,,,4,,103,115,36,,,1,,,,6,3,299
Igaporã (BA),Total,Produção de lavouras temporárias,30,9,,,,,,,2,,84,11,1,,,,,,,2,,25,19,8,,,,,,,,,59,13,6,,,,,,,,,56,6,2,,,,,,,,,3,,,,,,,,,,,,11,1,,,,,,,2,,25,19,8,,,,,,,,,59
Igrapiúna (BA),Total,Total,,1,,,,,,,1,3,7,,,,,,,,,1,,2,,1,,,,,,,,3,5,,,,,,,,,,3,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,1,,,,,,,,3,5
Igrapiúna (BA),Total,Produção de lavouras temporárias,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1
Iguaí (BA),Total,Total,15,6,,,2,1,,,60,3,85,2,2,,,1,,,,16,,19,13,4,,,1,1,,,44,3,66,10,2,,,1,1,,,37,2,61,3,2,,,,,,,7,1,5,,,,,,,,,,,,2,2,,,1,,,,16,,19,13,4,,,1,1,,,44,3,66
Iguaí (BA),Total,Produção de lavouras temporárias,1,,,,,,,,2,,5,1,,,,,,,,1,,,,,,,,,,,1,,5,,,,,,,,,1,,5,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,1,,5
Ilhéus (BA),Total,Total,11,7,1,,,,,,8,,54,4,3,,,,,,,6,,13,7,4,1,,,,,,2,,41,3,2,,,,,,,1,,25,2,1,,,,,,,1,,16,2,1,1,,,,,,,,,6,4,1,,,,,,6,,13,5,3,,,,,,,2,,41
Ilhéus (BA),Total,Produção de lavouras temporárias,,,,,,,,,,,13,,,,,,,,,,,3,,,,,,,,,,,10,,,,,,,,,,,6,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,10
Inhambupe (BA),Total,Total,88,12,1,,,1,,,26,2,63,27,2,1,,,,,,7,,17,61,10,,,,1,,,19,2,46,39,7,,,,,,,15,1,43,21,3,,,,1,,,4,1,3,1,,,,,,,,,,,26,1,1,,,,,,7,,17,62,11,,,,1,,,19,2,46
Inhambupe (BA),Total,Produção de lavouras temporárias,35,,,,,,,,4,1,25,7,,,,,,,,2,,3,28,,,,,,,,2,1,22,17,,,,,,,,2,1,22,11,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,2,,3,28,,,,,,,,2,1,22
Ipecaetá (BA),Total,Total,1,,,,,,,,4,,5,,,,,,,,,2,,3,1,,,,,,,,2,,2,1,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,3,1,,,,,,,,2,,2
Ipecaetá (BA),Total,Produção de lavouras temporárias,,,,,,,,,,,3,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2
Ipiaú (BA),Total,Total,4,14,2,,,,,,9,10,112,1,7,,,,,,,5,,10,3,7,2,,,,,,4,10,102,1,2,2,,,,,,,5,78,2,5,,,,,,,4,5,23,,,,,,,,,,,1,1,7,,,,,,,5,,11,3,7,2,,,,,,4,10,101
Ipiaú (BA),Total,Produção de lavouras temporárias,,,1,,,,,,,1,12,,,,,,,,,,,1,,,1,,,,,,,1,11,,,1,,,,,,,1,10,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,1,11
Ipirá (BA),Total,Total,19,3,2,,,5,,,8,7,55,10,,1,,,,,,7,1,14,9,3,1,,,5,,,1,6,41,8,3,1,,,3,,,,3,35,1,,,,,2,,,1,3,6,,,,,,,,,,,,10,,1,,,,,,7,1,14,9,3,1,,,5,,,1,6,41
Ipirá (BA),Total,Produção de lavouras temporárias,4,1,,,,,,,,1,19,,,,,,,,,,,4,4,1,,,,,,,,1,15,4,1,,,,,,,,1,14,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,4,4,1,,,,,,,,1,15
Ipupiara (BA),Total,Total,39,9,,,,,,,,1,10,11,2,,,,,,,,,,28,7,,,,,,,,1,10,19,3,,,,,,,,1,6,9,4,,,,,,,,,4,,,,,,,,,,,,11,2,,,,,,,,,,28,7,,,,,,,,1,10
Ipupiara (BA),Total,Produção de lavouras temporárias,14,2,,,,,,,,,7,4,,,,,,,,,,,10,2,,,,,,,,,7,7,1,,,,,,,,,4,3,1,,,,,,,,,3,,,,,,,,,,,,4,,,,,,,,,,,10,2,,,,,,,,,7
Irajuba (BA),Total,Total,3,,,,,,,,1,,24,2,,,,,,,,1,,3,1,,,,,,,,,,21,1,,,,,,,,,,19,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,1,,3,1,,,,,,,,,,21
Irajuba (BA),Total,Produção de lavouras temporárias,,,,,,,,,1,,17,,,,,,,,,1,,1,,,,,,,,,,,16,,,,,,,,,,,14,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,16
Iramaia (BA),Total,Total,75,5,,,,,,,17,2,57,20,1,,,,,,,8,1,16,55,4,,,,,,,9,1,41,40,4,,,,,,,7,,36,15,,,,,,,,2,1,5,,,,,,,,,,,,20,1,,,,,,,8,1,16,55,4,,,,,,,9,1,41
Iramaia (BA),Total,Produção de lavouras temporárias,8,,,,,,,,4,,12,1,,,,,,,,1,,2,7,,,,,,,,3,,10,4,,,,,,,,1,,9,3,,,,,,,,2,,1,,,,,,,,,,,,1,,,,,,,,1,,2,7,,,,,,,,3,,10
Iraquara (BA),Total,Total,262,16,1,,2,,,1,3,1,27,79,4,,,,,,1,2,,6,183,12,1,,2,,,,1,1,21,117,6,1,,1,,,,1,1,21,66,6,,,1,,,,,,,,,,,,,,,,,,78,4,,,,,,1,2,,6,184,12,1,,2,,,,1,1,21
Iraquara (BA),Total,Produção de lavouras temporárias,136,7,,,,,,1,1,,6,44,1,,,,,,1,1,,2,92,6,,,,,,,,,4,57,2,,,,,,,,,4,35,4,,,,,,,,,,,,,,,,,,,,,44,1,,,,,,1,1,,2,92,6,,,,,,,,,4
Irará (BA),Total,Total,16,16,3,,,,,,6,1,34,5,5,1,,,,,,,1,5,11,11,2,,,,,,6,,29,8,6,1,,,,,,4,,26,3,5,1,,,,,,2,,3,,,,,,,,,,,,5,5,1,,,,,,,1,5,11,11,2,,,,,,6,,29
Irará (BA),Total,Produção de lavouras temporárias,3,3,,,,,,,2,,15,,,,,,,,,,,1,3,3,,,,,,,2,,14,2,2,,,,,,,2,,12,1,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,3,3,,,,,,,2,,14
Irecê (BA),Total,Total,209,28,2,,,1,,11,6,,11,69,9,,,,,,6,4,,2,140,19,2,,,1,,5,2,,9,95,12,1,,,1,,2,1,,4,43,6,1,,,,,2,1,,5,2,1,,,,,,1,,,,71,10,,,,,,6,4,,2,138,18,2,,,1,,5,2,,9
Irecê (BA),Total,Produção de lavouras temporárias,85,7,1,,,1,,4,,,1,23,1,,,,,,2,,,,62,6,1,,,1,,2,,,1,50,3,1,,,1,,1,,,1,11,2,,,,,,1,,,,1,1,,,,,,,,,,24,2,,,,,,2,,,,61,5,1,,,1,,2,,,1
Itabela (BA),Total,Total,86,7,2,,,2,1,,8,2,3,56,6,2,,,,1,,5,2,2,30,1,,,,2,,,3,,1,10,,,,,,,,,,1,13,1,,,,2,,,3,,,7,,,,,,,,,,,58,5,2,,,,1,,5,2,1,28,2,,,,2,,,3,,2
Itabela (BA),Total,Produção de lavouras temporárias,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
Itaberaba (BA),Total,Total,56,42,,1,,,,11,27,2,58,22,16,,,,,,10,14,1,12,34,26,,1,,,,1,13,1,46,28,18,,1,,,,1,10,1,42,6,7,,,,,,,3,,4,,1,,,,,,,,,,21,16,,,,,,10,14,1,12,35,26,,1,,,,1,13,1,46
Itaberaba (BA),Total,Produção de lavouras temporárias,15,9,,,,,,4,15,,7,5,2,,,,,,4,10,,,10,7,,,,,,,5,,7,7,6,,,,,,,2,,7,3,,,,,,,,3,,,,1,,,,,,,,,,5,3,,,,,,4,10,,,10,6,,,,,,,5,,7
Itabuna (BA),Total,Total,1,1,,,,,,,3,1,56,1,1,,,,,,,3,,10,,,,,,,,,,1,46,,,,,,,,,,,42,,,,,,,,,,1,4,,,,,,,,,,,,1,1,,,,,,,2,,10,,,,,,,,,1,1,46
Itabuna (BA),Total,Produção de lavouras temporárias,,,,,,,,,,,14,,,,,,,,,,,2,,,,,,,,,,,12,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,12
Itacaré (BA),Total,Total,3,4,,,,,,,8,1,43,2,3,,,,,,,3,,9,1,1,,,,,,,5,1,34,,1,,,,,,,3,1,29,1,,,,,,,,2,,5,,,,,,,,,,,,2,3,,,,,,,3,,9,1,1,,,,,,,5,1,34
Itacaré (BA),Total,Produção de lavouras temporárias,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,6,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
Itaeté (BA),Total,Total,124,44,11,,1,,1,3,12,1,143,37,16,2,,,,1,3,7,,26,87,28,9,,1,,,,5,1,117,76,23,6,,1,,,,2,1,114,10,5,3,,,,,,3,,3,1,,,,,,,,,,,38,16,2,,,,1,3,7,,26,86,28,9,,1,,,,5,1,117
Itaeté (BA),Total,Produção de lavouras temporárias,47,14,2,,,,,1,4,1,57,12,4,1,,,,,1,1,,15,35,10,1,,,,,,3,1,42,31,7,1,,,,,,2,1,41,4,3,,,,,,,1,,1,,,,,,,,,,,,12,4,1,,,,,1,1,,15,35,10,1,,,,,,3,1,42
Itagi (BA),Total,Total,2,8,,,1,,,,35,,15,,2,,,,,,,5,,2,2,6,,,1,,,,30,,13,2,4,,,1,,,,26,,11,,2,,,,,,,4,,2,,,,,,,,,,,,,2,,,,,,,5,,2,2,6,,,1,,,,30,,13
Itagi (BA),Total,Produção de lavouras temporárias,,3,,,,,,,5,,2,,,,,,,,,2,,1,,3,,,,,,,3,,1,,2,,,,,,,2,,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,1,,3,,,,,,,3,,1
Itagibá (BA),Total,Total,5,4,2,,,,,2,9,3,69,4,2,,,,,,2,6,1,7,1,2,2,,,,,,3,2,62,,,,,,,,,,2,30,1,2,2,,,,,,3,,32,,,,,,,,,,,,3,1,,,,,,1,6,1,7,2,3,2,,,,,1,3,2,62
Itagibá (BA),Total,Produção de lavouras temporárias,,,,,,,,,1,1,14,,,,,,,,,,,2,,,,,,,,,1,1,12,,,,,,,,,,1,11,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,1,12
Itagimirim (BA),Total,Total,3,,,,,,,,1,1,2,2,,,,,,,,1,,1,1,,,,,,,,,1,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,1,,,,,,,,,1,2
Itagimirim (BA),Total,Produção de lavouras temporárias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Itaguaçu da Bahia (BA),Total,Total,219,22,1,,3,,,2,4,,5,63,11,,,1,,,2,2,,1,156,11,1,,2,,,,2,,4,134,5,1,,2,,,,2,,4,22,6,,,,,,,,,,,,,,,,,,,,,63,11,,,1,,,2,2,,1,156,11,1,,2,,,,2,,4
Itaguaçu da Bahia (BA),Total,Produção de lavouras temporárias,110,7,1,,,,,1,2,,2,28,5,,,,,,1,1,,,82,2,1,,,,,,1,,2,70,2,1,,,,,,1,,2,12,,,,,,,,,,,,,,,,,,,,,,28,5,,,,,,1,1,,,82,2,1,,,,,,1,,2
Itaju do Colônia (BA),Total,Total,,,,,,,1,,,1,17,,,,,,,1,,,,1,,,,,,,,,,1,16,,,,,,,,,,1,14,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,1,16
Itaju do Colônia (BA),Total,Produção de lavouras temporárias,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Itajuípe (BA),Total,Total,1,,,,,,,,4,,,,,,,,,,,3,,,1,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,3,,,1,,,,,,,,1,,
Itajuípe (BA),Total,Produção de lavouras temporárias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Itamaraju (BA),Total,Total,103,29,1,4,,3,3,1,12,2,34,39,15,,1,,2,1,1,6,1,12,64,14,1,3,,1,2,,6,1,22,35,8,,2,,1,1,,,,19,24,5,1,1,,,1,,6,1,3,5,1,,,,,,,,,,41,15,,1,,2,1,1,5,1,12,62,14,1,3,,1,2,,7,1,22
Itamaraju (BA),Total,Produção de lavouras temporárias,5,,,,,1,,,,,4,1,,,,,1,,,,,2,4,,,,,,,,,,2,3,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,2,4,,,,,,,,,,2
Itamari (BA),Total,Total,1,2,,,,,,,,,2,,,,,,,,,,,2,1,2,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,,,,,,,,,
Itamari (BA),Total,Produção de lavouras temporárias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Itambé (BA),Total,Total,5,7,2,,,,,1,14,,30,3,3,,,,,,1,8,,10,2,4,2,,,,,,6,,20,1,3,2,,,,,,5,,19,1,1,,,,,,,1,,1,,,,,,,,,,,,3,3,,,,,,1,8,,10,2,4,2,,,,,,6,,20
Itambé (BA),Total,Produção de lavouras temporárias,1,,1,,,,,,1,,13,1,,,,,,,,,,5,,,1,,,,,,1,,8,,,1,,,,,,1,,8,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,5,,,1,,,,,,1,,8
Itanagra (BA),Total,Total,,2,,,,,,,,,16,,1,,,,,,,,,2,,1,,,,,,,,,14,,1,,,,,,,,,13,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,2,,1,,,,,,,,,14
Itanagra (BA),Total,Produção de lavouras temporárias,,1,,,,,,,,,7,,,,,,,,,,,1,,1,,,,,,,,,6,,1,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,6
Itanhém (BA),Total,Total,16,26,,,,,2,,15,1,11,3,5,,,,,,,7,,1,13,21,,,,,2,,8,1,10,3,9,,,,,1,,3,,8,10,12,,,,,1,,5,1,2,,,,,,,,,,,,3,5,,,,,,,7,,1,13,21,,,,,2,,8,1,10
Itanhém (BA),Total,Produção de lavouras temporárias,,2,,,,,,,1,,2,,,,,,,,,,,,,2,,,,,,,1,,2,,1,,,,,,,1,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,2
Itaparica (BA),Total,Total,,,,,,,,,,,13,,,,,,,,,,,1,,,,,,,,,,,12,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,12
Itaparica (BA),Total,Produção de lavouras temporárias,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
Itapé (BA),Total,Total,,,,,,,,,4,,2,,,,,,,,,4,,,,,,,,,,,,,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,2
Itapé (BA),Total,Produção de lavouras temporárias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Itapebi (BA),Total,Total,1,,,,,,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1
Itapebi (BA),Total,Produção de lavouras temporárias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Itapetinga (BA),Total,Total,9,2,1,,4,,,,22,2,149,8,2,1,,1,,,,17,,74,1,,,,3,,,,5,2,75,1,,,,2,,,,2,2,66,,,,,1,,,,3,,9,,,,,,,,,,,,8,2,1,,1,,,,16,,74,1,,,,3,,,,6,2,75
Itapetinga (BA),Total,Produção de lavouras temporárias,2,1,,,1,,,,3,1,34,1,1,,,1,,,,3,,17,1,,,,,,,,,1,17,1,,,,,,,,,1,17,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,3,,17,1,,,,,,,,,1,17
Itapicuru (BA),Total,Total,48,18,1,,,3,,1,41,19,145,14,4,,,,,,1,13,,23,34,14,1,,,3,,,28,19,122,18,5,,,,2,,,11,10,70,16,9,1,,,1,,,17,9,52,,,,,,,,,,,,14,4,,,,,,,12,,23,34,14,1,,,3,,1,29,19,122
Itapicuru (BA),Total,Produção de lavouras temporárias,16,3,,,,,,1,4,2,10,7,2,,,,,,1,2,,1,9,1,,,,,,,2,2,9,5,1,,,,,,,2,2,9,4,,,,,,,,,,,,,,,,,,,,,,7,2,,,,,,,1,,1,9,1,,,,,,1,3,2,9
Itapitanga (BA),Total,Total,2,,,,,,,,,1,6,1,,,,,,,,,,,1,,,,,,,,,1,6,1,,,,,,,,,1,4,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,6
Itapitanga (BA),Total,Produção de lavouras temporárias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Itaquara (BA),Total,Total,172,48,2,1,,,1,,3,7,69,28,7,,,,,1,,1,,12,144,41,2,1,,,,,2,7,57,117,31,2,1,,,,,2,7,51,27,10,,,,,,,,,6,,,,,,,,,,,,28,7,,,,,1,,1,,12,144,41,2,1,,,,,2,7,57
Itaquara (BA),Total,Produção de lavouras temporárias,27,8,,,,,,,1,2,27,4,1,,,,,,,,,5,23,7,,,,,,,1,2,22,21,6,,,,,,,1,2,19,2,1,,,,,,,,,3,,,,,,,,,,,,4,1,,,,,,,,,5,23,7,,,,,,,1,2,22
Itarantim (BA),Total,Total,2,1,1,,,,,,32,,13,,,,,,,,,20,,4,2,1,1,,,,,,12,,9,1,,,,,,,,1,,,1,1,1,,,,,,11,,9,,,,,,,,,,,,,,,,,,,,20,,4,2,1,1,,,,,,12,,9
Itarantim (BA),Total,Produção de lavouras temporárias,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Itatim (BA),Total,Total,14,,,,,,1,1,4,,18,5,,,,,,1,1,3,,3,9,,,,,,,,1,,15,9,,,,,,,,,,13,,,,,,,,,1,,2,,,,,,,,,,,,5,,,,,,1,1,3,,3,9,,,,,,,,1,,15
Itatim (BA),Total,Produção de lavouras temporárias,3,,,,,,1,1,1,,3,,,,,,,1,1,1,,1,3,,,,,,,,,,2,3,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1,1,,1,3,,,,,,,,,,2
Itiruçu (BA),Total,Total,80,20,1,,1,1,,,2,12,94,32,8,1,,,,,,2,1,9,48,12,,,1,1,,,,11,85,34,7,,,,1,,,,9,71,14,5,,,1,,,,,2,14,,,,,,,,,,,,32,7,1,,,,,,2,1,9,48,13,,,1,1,,,,11,85
Itiruçu (BA),Total,Produção de lavouras temporárias,14,3,,,,,,,,,12,4,,,,,,,,,,2,10,3,,,,,,,,,10,5,1,,,,,,,,,9,5,2,,,,,,,,,1,,,,,,,,,,,,4,,,,,,,,,,2,10,3,,,,,,,,,10
Itiúba (BA),Total,Total,21,6,,,4,,,,12,2,45,5,,,,1,,,,3,,8,16,6,,,3,,,,9,2,37,11,4,,,2,,,,3,2,33,5,2,,,1,,,,6,,4,,,,,,,,,,,,5,,,,1,,,,3,,8,16,6,,,3,,,,9,2,37
